duration,protocol,in_packets,in_bytes,out_packets,out_bytes
100506.692,ICMP,103728,9847096,103729,9847194
100536.716,ICMP,103760,9850064,103761,9850162
100566.739,ICMP,103790,9852948,103791,9853046
100596.762,ICMP,103822,9855972,103823,9856070
100626.784,ICMP,103853,9858898,103854,9858996
100656.806,ICMP,103883,9861782,103884,9861880
100686.829,ICMP,103914,9864708,103915,9864806
100716.852,ICMP,103945,9867634,103946,9867732
100746.875,ICMP,103976,9870616,103977,9870714
100776.896,ICMP,104007,9873542,104008,9873640
100806.917,ICMP,104038,9876524,104039,9876622
100836.940,ICMP,104069,9879450,104070,9879548
100866.962,ICMP,104099,9882334,104100,9882432
100896.984,ICMP,104131,9885358,104132,9885456
100927.006,ICMP,104161,9888242,104162,9888340
100957.028,ICMP,104193,9891210,104194,9891308
100987.049,ICMP,104225,9894234,104226,9894332
101017.071,ICMP,104256,9897160,104257,9897258
101047.093,ICMP,104288,9900128,104289,9900226
101077.116,ICMP,104321,9903194,104322,9903292
101107.139,ICMP,104352,9906120,104353,9906218
101137.163,ICMP,104383,9909046,104384,9909144
101167.184,ICMP,104415,9912014,104416,9912112
101197.206,ICMP,104447,9915038,104448,9915136
101227.228,ICMP,104479,9918006,104480,9918104
101257.250,ICMP,104510,9920932,104511,9921030
101287.272,ICMP,104541,9923914,104542,9924012
101317.294,ICMP,104572,9926840,104573,9926938
101347.316,ICMP,104603,9929766,104604,9929864
101377.338,ICMP,104634,9932748,104635,9932846
101407.359,ICMP,104665,9935674,104666,9935772
101437.381,ICMP,104695,9938558,104696,9938656
101467.403,ICMP,104727,9941582,104728,9941680
101497.425,ICMP,104756,9944424,104757,9944522
101527.446,ICMP,104787,9947350,104788,9947448
101557.467,ICMP,104819,9950374,104820,9950472
101587.488,ICMP,104849,9953258,104850,9953356
101617.509,ICMP,104880,9956184,104881,9956282
101647.529,ICMP,104911,9959110,104912,9959208
101677.552,ICMP,104942,9962092,104943,9962190
101707.573,ICMP,104973,9965018,104974,9965116
101737.596,ICMP,105004,9967944,105005,9968042
101767.616,ICMP,105035,9970926,105036,9971024
101797.637,ICMP,105066,9973852,105067,9973950
101827.660,ICMP,105097,9976778,105098,9976876
101857.681,ICMP,105128,9979760,105129,9979858
101887.703,ICMP,105159,9982686,105160,9982784
101917.725,ICMP,105191,9985710,105192,9985808
101947.745,ICMP,105223,9988678,105224,9988776
101977.768,ICMP,105254,9991604,105255,9991702
102007.788,ICMP,105285,9994530,105286,9994628
102037.810,ICMP,105316,9997456,105317,9997554
102067.831,ICMP,105348,10000480,105349,10000578
102097.853,ICMP,105379,10003406,105380,10003504
102127.874,ICMP,105411,10006430,105412,10006528
102157.896,ICMP,105442,10009356,105443,10009454
102187.919,ICMP,105473,10012282,105474,10012380
102217.941,ICMP,105505,10015306,105506,10015404
102247.961,ICMP,105535,10018190,105536,10018288
102277.983,ICMP,105565,10021074,105566,10021172
102308.005,ICMP,105597,10024098,105598,10024196
102338.027,ICMP,105626,10026940,105627,10027038
102368.051,ICMP,105657,10029866,105658,10029964
102398.073,ICMP,105688,10032848,105689,10032946
102428.095,ICMP,105718,10035732,105719,10035830
102458.118,ICMP,105749,10038658,105750,10038756
102488.141,ICMP,105779,10041542,105780,10041640
102518.163,ICMP,105810,10044524,105811,10044622
102548.186,ICMP,105841,10047450,105842,10047548
102578.208,ICMP,105872,10050376,105873,10050474
102608.230,ICMP,105902,10053316,105903,10053414
102638.253,ICMP,105933,10056242,105934,10056340
102668.274,ICMP,105964,10059168,105965,10059266
102698.296,ICMP,105996,10062192,105997,10062290
102728.317,ICMP,106026,10065076,106027,10065174
102758.340,ICMP,106057,10068002,106058,10068100
102788.361,ICMP,106089,10071026,106090,10071124
102818.383,ICMP,106118,10073868,106119,10073966
102848.406,ICMP,106149,10076794,106150,10076892
102878.428,ICMP,106181,10079818,106182,10079916
102908.451,ICMP,106211,10082702,106212,10082800
102938.471,ICMP,106241,10085586,106242,10085684
102968.493,ICMP,106271,10088470,106272,10088568
102998.515,ICMP,106303,10091494,106304,10091592
103028.538,ICMP,106334,10094420,106335,10094518
103058.560,ICMP,106363,10097262,106364,10097360
103088.583,ICMP,106395,10100286,106396,10100384
103118.605,ICMP,106426,10103212,106427,10103310
103148.627,ICMP,106455,10106054,106456,10106152
103178.650,ICMP,106487,10109078,106488,10109176
103208.673,ICMP,106517,10111962,106518,10112060
103238.694,ICMP,106549,10114986,106550,10115084
103268.716,ICMP,106578,10117828,106579,10117926
103298.740,ICMP,106609,10120754,106610,10120852
103328.763,ICMP,106640,10123736,106641,10123834
103358.785,ICMP,106671,10126662,106672,10126760
103388.807,ICMP,106701,10129546,106702,10129644
103418.829,ICMP,106731,10132430,106732,10132528
103448.852,ICMP,106762,10135356,106763,10135454
103478.875,ICMP,106793,10138338,106794,10138436
