duration,protocol,in_packets,in_bytes,out_packets,out_bytes
106.975,TCP,4349250,287050500,6629173,290087443050
136.997,TCP,5977248,394498344,9079048,397295899320
167.019,TCP,7651536,505001340,11600327,507626353630
197.039,TCP,9350114,617107488,14158417,619567031802
227.060,TCP,10987406,725168736,16623382,727431254564
257.081,TCP,12716916,839316372,19238211,841856084766
287.102,TCP,14403154,950608080,21775978,952907736124
317.123,TCP,16119029,1063855806,24359892,1065978714488
347.145,TCP,17829297,1176733494,26932396,1178549228192
377.168,TCP,19543665,1289881758,29510902,1291382019860
407.190,TCP,21236040,1401578484,32054947,1402707502486
437.211,TCP,22944243,1514319882,34623774,1515118389204
467.233,TCP,24650013,1626900678,37188710,1627358232276
497.254,TCP,26363899,1740017130,39766771,1740171202702
527.275,TCP,28090758,1853989800,42363169,1853786102218
557.296,TCP,29721326,1961607264,44816263,1961131282054
587.318,TCP,31416963,2073519282,47369260,2072848998648
617.340,TCP,33096058,2184339528,49896563,2183441011126
647.362,TCP,34773334,2295039720,52418138,2293783282204
677.383,TCP,36523861,2410574478,55054500,2409147615136
707.405,TCP,38201633,2521307406,57579863,2519660004782
737.427,TCP,39935571,2635747290,60192008,2633964267832
767.448,TCP,41595082,2745274992,62689606,2743258149524
797.468,TCP,43278477,2856379038,65222142,2854080473580
827.490,TCP,44975222,2968364208,67776562,2965861001692
857.511,TCP,46720502,3083552664,70404272,3080847473216
887.533,TCP,48347900,3190960908,72850434,3187890271564
917.554,TCP,50057730,3303809688,75421495,3300397774718
947.576,TCP,51686720,3411323004,77872759,3407662945766
977.598,TCP,53378059,3522951378,80416025,3518952594346
1007.620,TCP,55090271,3635957358,82993524,3631743834888
1037.641,TCP,56780000,3747479472,85539091,3743134757758
1067.661,TCP,58495374,3860694132,88120179,3856081359262
1097.683,TCP,60216393,3974281386,90707942,3969319053124
1127.705,TCP,61904215,4085677590,93252614,4080672626516
1157.725,TCP,63609022,4198194828,95822236,4193119872624
1187.746,TCP,65263331,4307379174,98310826,4302018304988
1217.766,TCP,66928647,4417290006,100817570,4411710331692
1247.787,TCP,68605970,4527993276,103343724,4522251674520
1277.809,TCP,70267263,4637638590,105844891,4631700325654
1307.828,TCP,71914578,4746361356,108323546,4740164515404
1337.849,TCP,73568039,4855489734,110812933,4849099373226
1367.870,TCP,75247660,4966344696,113344563,4959881987830
1397.892,TCP,76945165,5078379978,115904677,5071910684442
1427.913,TCP,78650787,5190951018,118474649,5184371322994
1457.934,TCP,80371643,5304527490,121069294,5297910478268
1487.955,TCP,82121095,5419991298,123707947,5413375297646
1517.976,TCP,83822879,5532309018,126270026,5525488468428
1547.998,TCP,85536734,5645423448,128850773,5638419908258
1578.019,TCP,87262808,5759344308,131449156,5752121642536
1608.040,TCP,88880544,5866114860,133884534,5858691804028
1638.061,TCP,90600323,5979620250,136475266,5972058931564
1668.083,TCP,92308323,6092348226,139048104,6084644080688
1698.104,TCP,94017971,6205184970,141621589,6197257650730
1728.126,TCP,95734771,6318493746,144206994,6310393870284
1758.147,TCP,97438806,6430960032,146777305,6422868097538
1788.169,TCP,99121993,6542050350,149310422,6533714118812
1818.191,TCP,100800265,6652816278,151836739,6644263992102
1848.212,TCP,102520221,6766333326,154428801,6757690975474
1878.233,TCP,104215358,6878212344,156981524,6869396418376
1908.255,TCP,105894135,6989011602,159508915,6979993352990
1938.276,TCP,107591753,7101054366,162066231,7091899508118
1968.297,TCP,109281310,7212565104,164610839,7203248686022
1998.318,TCP,110948736,7322615196,167121253,7313102631882
2028.340,TCP,112566090,7429360536,169553827,7419549532454
2058.362,TCP,114242003,7539970770,172076546,7529941423500
2088.384,TCP,115921498,7650817440,174606029,7640630049626
2118.406,TCP,117636456,7764004644,177188843,7753653245182
2148.428,TCP,119319789,7875104598,179722277,7864513508314
2178.449,TCP,121003658,7986239952,182257923,7975471303958
2208.471,TCP,122688842,8097462072,184795268,8086504512200
2238.492,TCP,124317514,8204954400,187249931,8193916249846
2268.513,TCP,126040837,8318693718,189842882,8307381302068
2298.535,TCP,127719575,8429490402,192369767,8417954806558
2328.556,TCP,129400342,8540421000,194900027,8528677103534
2358.578,TCP,131113122,8653464456,197478244,8641497161392
2388.599,TCP,132812778,8765641728,200035681,8753407912778
2418.621,TCP,134483857,8875932918,202552030,8863521117548
2448.642,TCP,136167999,8987086266,205088642,8974520329764
2478.664,TCP,137903634,9101638152,207700045,9088792234970
2508.686,TCP,139558073,9210831102,210193971,9197922819990
2538.707,TCP,141268283,9323704938,212766864,9310509678184
2568.728,TCP,142947660,9434543796,215295347,9421154066270
2598.750,TCP,144630336,9545600388,217830791,9532102411374
2628.772,TCP,146298875,9655723962,220345414,9642139873708
2658.793,TCP,147969794,9766004592,222861345,9752234635650
2688.814,TCP,149660484,9877590108,225413956,9863937056504
2718.835,TCP,151307686,9986305416,227892648,9972402298024
2748.856,TCP,152965520,10095722436,230389753,10081672947434
2778.876,TCP,154621190,10204996680,232884515,10190841336390
2808.898,TCP,156306399,10316220450,235422234,10301890757084
2838.920,TCP,158029813,10429965750,238015129,10415353643274
2868.941,TCP,159707422,10540687920,240540727,10525871685278
2898.963,TCP,161375492,10650780516,243049890,10635672791716
2928.985,TCP,163076857,10763070582,245610273,10747713432906
2959.006,TCP,164794710,10876448880,248196829,10860905958338
2989.027,TCP,166435005,10984708326,250664778,10968901384132
3019.049,TCP,168136661,11097017598,253227217,11081033190146
3049.071,TCP,169775451,11205177738,255692722,11188921565820
3079.092,TCP,171434420,11314669668,258188380,11298127894448
3109.114,TCP,173147670,11427744144,260768267,11411022053046
3139.135,TCP,174794821,11536456110,263251805,11519698902490
3169.158,TCP,176430801,11644430766,265714404,11627458700192
3199.179,TCP,178099531,11754566922,268227497,11737429346626
3229.201,TCP,179773597,11865055290,270749243,11847779754726
3259.222,TCP,181434084,11974647420,273245000,11956992970792
3289.244,TCP,183101544,12084699756,275755389,12066845669442
3319.266,TCP,184828683,12198690906,278357946,12180732818028
3349.286,TCP,186535480,12311339484,280928685,12293225751666
3379.308,TCP,188254340,12424784220,283514737,12406391571034
3409.329,TCP,189850538,12530133264,285922454,12511749719124
3439.351,TCP,191550833,12642352710,288483330,12623810512780
3469.373,TCP,193284450,12756771408,291101405,12738374492786
3499.393,TCP,194965149,12867697518,293634740,12849229179200
3529.415,TCP,196635315,12977928450,296149349,12959268802898
3559.437,TCP,198306755,13088243466,298665332,13069366517016
3589.459,TCP,199978382,13198570848,301185142,13179631731612
3619.480,TCP,201690550,13311573912,303765650,13292554242748
3649.501,TCP,203348701,13421011878,306268207,13402064392502
3679.524,TCP,205077718,13535126976,308873756,13516080517176
3709.545,TCP,206782693,13647655302,311437988,13628290036152
3739.567,TCP,208462172,13758500916,313965238,13738880473044
3769.589,TCP,210108070,13867130160,316446343,13847451451942
3799.611,TCP,211774743,13977130554,318956498,13957294305500
3829.632,TCP,213493475,14090566866,321545767,14070597830990
3859.654,TCP,215146888,14199692100,324035725,14179556843770
3889.675,TCP,216870505,14313450822,326630521,14293103479386
3919.697,TCP,218529814,14422965192,329128406,14402409242412
3949.719,TCP,220200703,14533243842,331644297,14512502624330
3979.740,TCP,221879094,14644017648,334170104,14623029199080
4009.762,TCP,223512178,14751801168,336626583,14730521010502
4039.783,TCP,225168875,14861143146,339123755,14839794875222
4069.804,TCP,226898072,14975270148,341726719,14953696862582
4099.827,TCP,228613719,15088502826,344314560,15066939803696
