duration,protocol,in_packets,in_bytes,out_packets,out_bytes
843.880,ICMP,397726,592074892,403509,600673626
853.969,ICMP,409361,609385658,409380,609422896
864,ICMP,421065,626809722,421084,626846960
868.976,ICMP,426952,635583216,432813,644299290
879.050,ICMP,438709,653076826,438730,653117092
889.083,ICMP,450501,670631898,450520,670669136
894.059,ICMP,456372,679381168,462250,688121508
904.128,ICMP,468058,696768036,468098,696837068
914.162,ICMP,479806,714257604,479862,714350860
919.138,ICMP,485782,723163620,491686,731943684
929.210,ICMP,497538,740655716,497570,740712636
939.242,ICMP,509594,758603812,509613,758641050
944.217,ICMP,515554,767484132,521431,776224430
954.290,ICMP,527327,785001966,527346,785039204
964.324,ICMP,539296,802819096,539314,802856292
969.300,ICMP,545210,811633828,551088,820374168
979.375,ICMP,556940,829086200,556997,829182442
989.406,ICMP,568865,846837826,568901,846902274
994.387,ICMP,575366,856526820,581185,865178946
1004.458,ICMP,587125,874021986,587164,874090976
1014.491,ICMP,598961,891642562,598979,891679758
1019.468,ICMP,604875,900457294,610709,909132130
1029.542,ICMP,616649,917975170,616667,918012366
1039.576,ICMP,628398,935464780,628418,935505004
1044.554,ICMP,634338,944318876,640146,952954348
1054.623,ICMP,646042,961731884,646060,961769080
1064.658,ICMP,657834,979286956,657852,979324152
1069.635,ICMP,663660,987970680,669538,996711020
1079.706,ICMP,675391,1005423094,675409,1005460290
1089.740,ICMP,687008,1022716192,687051,1022792710
1094.719,ICMP,692806,1031360108,698624,1040009248
1104.788,ICMP,704388,1048590272,704428,1048662248
1114.818,ICMP,716092,1066014336,716109,1066051490
1119.796,ICMP,721917,1074698018,727621,1083176426
1129.869,ICMP,733385,1091757450,733438,1091849108
1139.901,ICMP,745177,1109312522,745210,1109373900
1144.883,ICMP,750992,1117982176,756705,1126474570
1154.954,ICMP,762557,1135186602,762574,1135223756
1164.987,ICMP,774349,1152741674,774381,1152801538
1169.963,ICMP,780239,1161521182,786010,1170100276
1180.034,ICMP,791862,1178812308,791921,1178913050
1190.065,ICMP,803698,1196432884,803722,1196480636
1195.040,ICMP,809622,1205264228,815446,1213922452
1205.112,ICMP,821343,1222700030,821359,1222737142
1215.140,ICMP,833092,1240189640,833108,1240226752
1220.117,ICMP,838963,1248943326,844796,1257613704
1230.187,ICMP,850692,1266391240,850708,1266428352
1240.220,ICMP,862969,1284666898,863008,1284738832
1245.198,ICMP,868793,1293350538,874541,1301894450
1255.273,ICMP,880393,1310606482,880425,1310667818
1265.309,ICMP,892054,1327965084,892086,1328026420
1270.287,ICMP,897834,1336583220,903626,1345192636
1280.360,ICMP,909434,1353839164,909457,1353886874
1290.391,ICMP,921183,1371328774,921199,1371365886
1295.367,ICMP,926919,1379881406,932755,1388556326
1305.436,ICMP,938564,1397202896,938580,1397240008
1315.473,ICMP,950224,1414561456,950258,1414625820
1320.450,ICMP,956029,1423217442,961841,1431854554
1330.521,ICMP,967650,1440501124,967693,1440580586
1340.551,ICMP,979398,1457990692,979413,1458027762
1345.531,ICMP,985181,1466614842,991059,1475349294
1355.603,ICMP,996867,1483995822,996882,1484032892
1365.641,ICMP,1008527,1501354382,1008585,1501456554
1370.621,ICMP,1014306,1509972476,1020100,1518581976
1380.691,ICMP,1025952,1527294008,1025967,1527331078
1390.727,ICMP,1037524,1544521560,1037539,1544558630
1395.705,ICMP,1043348,1553205200,1049141,1561814658
1405.776,ICMP,1055037,1570592194,1055052,1570629264
1415.813,ICMP,1066653,1587885250,1066668,1587922320
