duration,protocol,in_packets,in_bytes,out_packets,out_bytes
2226.292,UDP,93268,140969766,41,2490
2256.315,UDP,95920,144978120,42,2532
2286.336,UDP,98571,148984962,43,2574
2316.358,UDP,101222,152993274,43,2574
2346.380,UDP,103874,157001628,44,2616
2376.404,UDP,106525,161009940,44,2616
2406.426,UDP,109176,165016782,45,2658
2436.448,UDP,111830,169028160,46,2700
2466.471,UDP,114486,173044032,46,2700
2496.493,UDP,117144,177061458,47,2742
2526.514,UDP,119757,181010844,48,2784
2556.536,UDP,122414,185028228,48,2784
2586.558,UDP,125072,189045654,49,2826
2616.580,UDP,127728,193061526,49,2826
2646.602,UDP,130386,197078952,50,2868
2676.623,UDP,133043,201094866,51,2910
2706.645,UDP,135700,205112250,51,2910
2736.666,UDP,138358,209129676,52,2952
2766.687,UDP,141019,213151638,53,2994
2796.709,UDP,143683,217179606,53,2994
2826.730,UDP,146347,221206104,54,3036
2856.751,UDP,149012,225234114,55,3078
2886.774,UDP,151669,229251498,55,3078
2916.796,UDP,154327,233268924,56,3120
2946.817,UDP,156985,237286350,57,3162
2976.836,UDP,159597,241235694,57,3162
3006.857,UDP,162262,245263704,58,3204
3036.879,UDP,164920,249281130,59,3246
3066.902,UDP,167576,253297002,59,3246
3096.924,UDP,170234,257314428,60,3288
3126.946,UDP,172892,261331854,61,3330
3156.968,UDP,175550,265350750,61,3330
3186.990,UDP,178207,269366664,62,3372
3217.012,UDP,180865,273384090,63,3414
3247.033,UDP,183524,277404498,63,3414
3277.055,UDP,186182,281421924,64,3456
3307.078,UDP,188838,285436326,65,3498
3337.100,UDP,191498,289456776,66,3540
3367.122,UDP,194162,293483274,67,3582
3397.144,UDP,196826,297511242,67,3582
3427.166,UDP,199445,301469700,68,3624
3457.188,UDP,202110,305497710,69,3666
3487.210,UDP,204776,309527232,70,3708
3517.233,UDP,207440,313553730,71,3750
3547.255,UDP,210100,317575650,71,3750
3577.277,UDP,212759,321594588,72,3792
3607.300,UDP,215417,325612014,73,3834
3637.322,UDP,218076,329630952,74,3876
3667.344,UDP,220734,333646908,76,3960
3697.366,UDP,223395,337668870,77,4002
3727.386,UDP,226058,341693856,78,4044
3757.409,UDP,228717,345712794,79,4086
3787.432,UDP,231375,349730220,80,4128
3817.454,UDP,234032,353746134,81,4170
3847.476,UDP,236690,357763560,82,4212
3877.498,UDP,239349,361782498,83,4254
3907.521,UDP,241961,365731842,83,4254
3937.543,UDP,244619,369749268,84,4296
3967.566,UDP,247276,373765182,85,4338
3997.588,UDP,249935,377784120,86,4380
4027.610,UDP,252591,381799992,86,4380
4057.632,UDP,255249,385817418,87,4422
4087.654,UDP,257907,389834844,88,4464
4117.676,UDP,260563,393850716,88,4464
4147.698,UDP,263221,397868142,89,4506
4177.720,UDP,265877,401882544,90,4548
4207.742,UDP,268531,405892452,92,4632
4237.765,UDP,271183,409900806,93,4674
4267.787,UDP,273835,413907690,95,4758
4297.809,UDP,276486,417914532,96,4800
4327.831,UDP,279137,421921374,97,4842
4357.853,UDP,281742,425857194,99,4926
4387.875,UDP,284391,429861012,100,4968
4417.896,UDP,287043,433869366,101,5010
4447.918,UDP,289694,437874738,103,5094
4477.940,UDP,292342,441877044,104,5136
4507.962,UDP,294989,445879308,104,5136
4537.984,UDP,297640,449886150,105,5178
4568.003,UDP,300292,453894504,106,5220
4598.025,UDP,302943,457902816,106,5220
4628.046,UDP,305595,461911170,107,5262
4658.068,UDP,308246,465919482,107,5262
4688.089,UDP,310898,469927836,108,5304
4718.110,UDP,313549,473936148,108,5304
4748.133,UDP,316201,477944502,109,5346
4778.156,UDP,318853,481952856,110,5388
4808.178,UDP,321459,485893128,110,5388
4838.201,UDP,324111,489901482,111,5430
4868.222,UDP,326763,493909836,112,5472
4898.245,UDP,329415,497918190,113,5514
4928.267,UDP,332066,501926502,113,5514
4958.288,UDP,334718,505934856,114,5556
4988.311,UDP,337370,509943210,115,5598
5018.333,UDP,340022,513951564,116,5640
5048.353,UDP,342674,517959918,117,5682
5078.377,UDP,345326,521968272,118,5724
5108.399,UDP,347978,525976626,119,5766
5138.421,UDP,350629,529983468,120,5808
5168.443,UDP,353281,533991822,121,5850
5198.464,UDP,355934,538001688,122,5892
5228.486,UDP,358587,542011554,123,5934
5258.508,UDP,361196,545953422,125,6018
5288.530,UDP,363849,549963288,126,6060
5318.551,UDP,366501,553971642,127,6102
5348.573,UDP,369154,557980038,129,6186
5378.594,UDP,371806,561988392,130,6228
5408.615,UDP,374460,565998300,132,6312
5438.636,UDP,377113,570008166,133,6354
5468.657,UDP,379767,574019544,134,6396
5498.680,UDP,382419,578029368,134,6396
5528.702,UDP,385071,582037722,135,6438
5558.724,UDP,387723,586046076,136,6480
5588.745,UDP,390375,590054430,137,6522
5618.767,UDP,393027,594062784,138,6564
5648.789,UDP,395679,598071138,139,6606
5678.811,UDP,398330,602077980,140,6648
5708.833,UDP,400938,606019806,141,6690
5738.854,UDP,403590,610029630,141,6690
5768.875,UDP,406241,614036472,142,6732
5798.896,UDP,408893,618044826,143,6774
5828.918,UDP,411547,622054734,145,6858
5858.940,UDP,414199,626063088,146,6900
5888.962,UDP,416852,630071484,148,6984
5918.985,UDP,419505,634081350,149,7026
5949.003,UDP,422157,638089704,150,7068
5979.024,UDP,424810,642098100,152,7152
6009.047,UDP,427461,646104942,153,7194
6039.070,UDP,430114,650113338,155,7278
6069.089,UDP,432765,654121650,155,7278
6099.111,UDP,435417,658130004,156,7320
6129.134,UDP,438067,662136804,156,7320
6159.155,UDP,440675,666078630,157,7362
6189.172,UDP,443327,670086984,158,7404
6219.192,UDP,445977,674093784,158,7404
6249.214,UDP,448629,678102138,159,7446
6279.236,UDP,451280,682110450,159,7446
6309.254,UDP,453932,686118804,160,7488
6339.275,UDP,456582,690124134,161,7530
6369.296,UDP,459233,694132446,161,7530
6399.314,UDP,461885,698140800,162,7572
6429.331,UDP,464536,702147642,163,7614
6459.352,UDP,467187,706155954,163,7614
6489.372,UDP,469839,710164308,164,7656
6519.395,UDP,472490,714172620,164,7656
6549.415,UDP,475142,718180974,165,7698
6579.435,UDP,477794,722189328,166,7740
6609.455,UDP,480402,726132624,166,7740
6639.475,UDP,483054,730140978,167,7782
6669.496,UDP,485705,734149290,167,7782
6699.517,UDP,488357,738157644,168,7824
6729.538,UDP,491010,742166040,170,7908
6759.560,UDP,493662,746174394,171,7950
6789.580,UDP,496315,750184260,172,7992
6819.601,UDP,498967,754192614,173,8034
6849.622,UDP,501620,758202480,174,8076
6879.643,UDP,504274,762212388,176,8160
6909.665,UDP,506926,766220742,177,8202
6939.687,UDP,509578,770229096,178,8244
6969.709,UDP,512230,774237450,179,8286
6999.730,UDP,514882,778245804,180,8328
7029.752,UDP,517533,782254116,180,8328
7059.774,UDP,520141,786195942,181,8370
7089.795,UDP,522794,790205808,182,8412
7119.817,UDP,525446,794215632,182,8412
7149.840,UDP,528099,798225498,183,8454
7179.860,UDP,530750,802233810,183,8454
7209.882,UDP,533402,806242164,184,8496
7239.904,UDP,536053,810250476,184,8496
7269.927,UDP,538706,814260342,185,8538
7299.948,UDP,541358,818270166,185,8538
7329.970,UDP,544010,822278520,186,8580
7359.992,UDP,546663,826288386,187,8622
7390.012,UDP,549318,830301276,188,8664
7420.034,UDP,551972,834312654,189,8706
7450.055,UDP,554625,838322520,190,8748
7480.074,UDP,557277,842330874,191,8790
7510.094,UDP,559885,846272700,192,8832
7540.117,UDP,562536,850281012,192,8832
7570.138,UDP,565188,854289366,193,8874
7600.161,UDP,567840,858297720,194,8916
7630.184,UDP,570492,862306074,195,8958
7660.207,UDP,573144,866315898,195,8958
7690.229,UDP,575797,870325764,196,9000
7720.251,UDP,578448,874334076,196,9000
7750.273,UDP,581100,878342430,197,9042
7780.295,UDP,583752,882350784,198,9084
7810.317,UDP,586403,886359096,198,9084
7840.338,UDP,589055,890367450,199,9126
7870.360,UDP,591706,894375762,199,9126
7900.380,UDP,594358,898384116,200,9168
7930.401,UDP,597010,902392470,201,9210
7960.423,UDP,599662,906400824,202,9252
7990.445,UDP,602270,910341180,204,9336
8020.466,UDP,604922,914349534,205,9378
8050.488,UDP,607574,918356418,207,9462
8080.510,UDP,610226,922364772,208,9504
8110.533,UDP,612879,926373168,210,9588
8140.554,UDP,615532,930383034,211,9630
8170.575,UDP,618184,934391388,212,9672
8200.596,UDP,620838,938401296,214,9756
8230.618,UDP,623490,942409650,215,9798
8260.638,UDP,626143,946418046,217,9882
8290.658,UDP,628795,950426400,218,9924
8320.679,UDP,631447,954434754,219,9966
8350.700,UDP,634100,958443150,221,10050
8380.722,UDP,636752,962451504,222,10092
8410.744,UDP,639405,966461370,223,10134
8440.767,UDP,642059,970471278,225,10218
8470.789,UDP,644668,974414616,226,10260
8500.810,UDP,647320,978422970,227,10302
8530.830,UDP,649973,982431366,229,10386
8560.850,UDP,652624,986439678,229,10386
8590.872,UDP,655276,990448032,230,10428
8620.894,UDP,657928,994456386,231,10470
8650.914,UDP,660580,998464740,232,10512
8680.935,UDP,663232,1002473094,233,10554
8710.955,UDP,665882,1006479894,233,10554
8740.976,UDP,668534,1010488248,234,10596
8770.997,UDP,671186,1014496602,235,10638
8801.016,UDP,673839,1018506468,236,10680
8831.036,UDP,676492,1022516334,237,10722
8861.057,UDP,679145,1026526200,238,10764
8891.078,UDP,681798,1030536066,239,10806
8921.098,UDP,684405,1034477850,239,10806
8951.119,UDP,687057,1038486204,240,10848
8981.140,UDP,689710,1042496070,241,10890
9011.160,UDP,692362,1046504424,242,10932
9041.182,UDP,695014,1050512778,243,10974
9071.205,UDP,697666,1054521132,244,11016
9101.228,UDP,700319,1058530998,245,11058
9131.250,UDP,702971,1062539352,246,11100
9161.273,UDP,705623,1066547706,247,11142
9191.295,UDP,708276,1070557572,248,11184
9221.316,UDP,710929,1074567438,249,11226
9251.337,UDP,713581,1078575792,250,11268
9281.359,UDP,716234,1082585658,251,11310
9311.382,UDP,718886,1086594012,252,11352
9341.405,UDP,721538,1090602366,253,11394
9371.426,UDP,724146,1094544192,254,11436
9401.449,UDP,726797,1098551034,255,11478
9431.471,UDP,729451,1102562412,256,11520
9461.493,UDP,732104,1106572278,257,11562
9491.515,UDP,734755,1110580590,257,11562
9521.537,UDP,737407,1114588944,258,11604
9551.559,UDP,740059,1118597298,259,11646
9581.581,UDP,742711,1122605652,260,11688
9611.603,UDP,745364,1126616988,260,11688
9641.627,UDP,748017,1130626854,261,11730
9671.648,UDP,750671,1134638232,262,11772
9701.670,UDP,753323,1138648056,262,11772
9731.691,UDP,755976,1142657922,263,11814
9761.714,UDP,758628,1146666276,264,11856
9791.735,UDP,761281,1150676142,265,11898
9821.757,UDP,763932,1154684454,265,11898
9851.778,UDP,766540,1158626280,266,11940
9881.799,UDP,769192,1162634634,267,11982
9911.821,UDP,771844,1166642988,268,12024
9941.843,UDP,774496,1170651342,269,12066
9971.866,UDP,777149,1174661208,270,12108
10001.887,UDP,779802,1178671074,271,12150
10031.909,UDP,782454,1182679428,272,12192
10061.930,UDP,785107,1186689294,273,12234
10091.952,UDP,787759,1190697648,274,12276
10121.974,UDP,790411,1194706002,275,12318
